0.876	15.736	37.741	1.192	7.237	4.384	5.652	2.245	56.641	0.632	1196.180	224.683	2.468	1.207	5.839	64.583	96.105	5.521	1.828	0.531
0.921	16.461	41.480	1.209	7.771	4.499	5.995	2.346	60.554	0.666	1261.840	233.493	2.576	1.258	5.951	68.284	101.218	5.736	1.874	0.542
0.954	16.742	45.010	1.245	8.110	4.601	6.279	2.378	64.722	0.688	1319.330	244.267	2.638	1.312	6.077	73.828	106.021	5.900	1.994	0.562
1.017	17.454	47.554	1.250	8.651	4.766	6.942	2.481	70.151	0.723	1393.650	258.863	2.730	1.365	6.642	85.587	112.173	6.157	2.113	0.580
1.052	17.579	48.718	1.231	8.798	5.415	7.073	2.501	71.786	0.741	1435.220	259.683	2.738	1.396	7.146	90.194	120.025	7.337	2.140	0.607
1.061	16.924	47.342	1.227	8.533	5.378	6.887	2.408	83.274	0.730	1399.440	235.737	2.663	1.420	7.110	92.170	129.909	7.409	2.015	0.653
1.144	17.495	49.612	1.231	8.861	5.476	7.470	2.485	84.177	0.787	1477.480	237.533	2.793	1.518	7.170	101.156	138.951	7.537	2.075	0.643
1.136	18.577	53.079	1.233	9.507	5.673	7.960	2.643	88.859	0.840	1573.650	242.533	2.957	1.530	7.403	121.953	150.270	7.806	2.148	0.662
1.099	18.858	54.493	1.239	9.679	5.753	8.168	2.678	95.948	0.862	1624.820	234.243	3.004	1.519	7.503	127.840	154.590	7.916	2.158	0.680
1.075	19.049	55.257	1.255	9.846	5.787	8.306	2.703	102.221	0.876	1662.430	231.007	3.046	1.519	7.689	133.239	154.413	7.974	2.198	0.697
1.107	19.038	55.280	1.293	9.944	5.764	8.328	2.710	107.279	0.884	1675.420	229.607	3.051	1.537	7.741	138.175	152.947	8.002	2.246	0.716
1.193	20.506	59.007	1.314	10.631	6.123	8.960	2.919	115.900	0.947	1799.490	243.457	3.293	1.950	8.366	151.637	165.183	8.407	2.441	0.771
1.183	21.443	61.592	1.318	11.005	6.366	9.363	3.053	125.466	0.983	1890.500	246.020	3.445	2.050	8.850	162.511	170.501	8.704	2.515	0.823
1.338	22.872	65.368	1.353	11.644	6.782	9.960	3.256	134.544	1.046	2021.090	257.683	3.683	2.178	9.367	177.403	180.074	9.265	2.756	0.898
1.501	21.703	62.166	1.369	11.080	6.424	9.407	3.087	135.846	0.987	1970.710	250.733	3.485	2.197	8.894	173.829	174.010	8.942	2.593	0.796
1.434	20.017	57.561	1.360	10.295	6.009	8.687	2.849	133.290	0.914	1895.620	238.637	3.205	1.922	8.342	168.542	167.006	8.395	2.346	0.727
1.455	18.166	52.417	1.379	9.368	5.577	7.887	2.584	148.797	0.836	1750.340	207.090	2.911	1.796	7.786	161.805	159.086	7.814	2.134	0.696
1.426	16.488	48.025	1.404	8.637	5.261	7.208	2.346	144.617	0.774	1598.240	187.880	2.649	1.904	7.320	152.887	147.396	7.408	1.977	0.695
1.404	15.780	45.865	1.384	8.305	5.135	7.147	2.246	141.037	0.739	1539.030	170.133	2.531	1.802	7.403	150.026	142.835	7.200	1.867	0.663
1.609	14.670	43.109	1.385	7.846	4.969	6.778	2.086	136.058	0.735	1435.790	155.773	2.352	1.983	7.387	147.107	135.243	6.968	1.687	0.672
1.545	14.131	41.689	1.385	7.576	4.912	6.572	2.008	138.213	0.724	1390.180	160.293	2.268	1.963	7.470	148.327	134.719	6.918	1.664	0.700
1.491	12.931	38.130	1.338	6.950	4.562	6.128	1.840	134.452	0.689	1306.210	153.167	2.076	1.827	7.035	141.656	128.965	6.506	1.545	0.649
1.400	12.691	37.415	1.333	6.801	4.395	6.025	1.805	134.273	0.675	1299.730	142.667	2.036	1.723	6.711	140.313	126.136	6.301	1.491	0.609
1.400	12.934	38.170	1.322	7.038	4.455	6.135	1.839	139.486	0.687	1329.880	146.923	2.071	1.654	6.730	144.347	124.641	6.431	1.525	0.619
1.421	12.014	35.621	1.311	6.572	4.171	5.754	1.706	133.506	0.641	1248.460	135.793	1.919	1.575	6.473	137.214	114.170	6.123	1.403	0.571
1.390	11.778	35.057	1.267	6.419	4.062	5.669	1.676	133.911	0.629	1235.260	128.000	1.882	1.510	6.365	137.026	113.085	5.988	1.375	0.557
